sub_id,trial_type,time_looking_at_pref,percentage_looking_at_pref,time_looking_at_alc,percentage_looking_at_alc,time_looking_at_cig,percentage_looking_at_cig,time_looking_at_neu,percentage_looking_at_neu,response_time,last_item_looked_at,last_category_looked_at,time_last_item_looked_at,selected_item,alcohol_pref,cig_pref
cret03,1.0,393.0,0.504492939666,96.0,0.12323491656,0.0,0.0,393.0,0.504492939666,778.052169846,naturallight,alcohol,778.0,waterglass,naturallight,maverick
cret03,3.0,870.0,0.340109460516,870.0,0.340109460516,690.0,0.269741985927,682.0,0.266614542611,2557.33487919,naturallight,alcohol,2557.0,naturallight,naturallight,maverick
cret03,1.0,440.0,0.324244657332,415.0,0.305821665438,440.0,0.324244657332,320.0,0.235814296242,1356.86368683,maverick,cigarette,1356.0,maverick,naturallight,maverick
cret03,2.0,800.0,0.902934537246,0.0,0.0,0.0,0.0,800.0,0.902934537246,886.397443336,waterbottle,neutral,885.0,waterbottle,naturallight,maverick
cret03,1.0,511.0,1.0,0.0,0.0,0.0,0.0,511.0,1.0,510.98885289,waterglass,neutral,510.0,waterglass,naturallight,maverick
cret03,1.0,183.0,0.162522202487,183.0,0.162522202487,0.0,0.0,281.0,0.249555950266,1125.96558951,naturallight,alcohol,932.0,naturallight,naturallight,maverick
cret03,4.0,1130.0,0.535037878788,451.0,0.213541666667,1130.0,0.535037878788,9.0,0.00426136363636,2114.40074258,waterglass,neutral,1974.0,newport,naturallight,maverick
cret03,3.0,1171.0,0.775496688742,1171.0,0.775496688742,0.0,0.0,0.0,0.0,1510.30425922,naturallight,alcohol,1509.0,naturallight,naturallight,maverick
cret03,1.0,615.0,0.561131386861,39.0,0.0355839416058,615.0,0.561131386861,0.0,0.0,1095.46502305,maverick,cigarette,1095.0,maverick,naturallight,maverick
cret03,2.0,1310.0,0.608453320948,0.0,0.0,1310.0,0.608453320948,659.0,0.306084533209,2152.29312447,maverick,cigarette,2152.0,maverick,naturallight,maverick
cret03,1.0,540.0,0.744827586207,172.0,0.23724137931,540.0,0.744827586207,0.0,0.0,725.485232831,maverick,cigarette,724.0,maverick,naturallight,maverick
cret03,1.0,601.0,0.782552083333,601.0,0.782552083333,0.0,0.0,0.0,0.0,768.33402191,naturallight,alcohol,767.0,naturallight,naturallight,maverick
cret03,1.0,183.0,0.204013377926,183.0,0.204013377926,0.0,0.0,0.0,0.0,897.18877595,naturallight,alcohol,896.0,naturallight,naturallight,maverick
cret03,2.0,2001.0,1.0,2001.0,1.0,0.0,0.0,0.0,0.0,2011.65489486,budweiser,alcohol,2011.0,budweiser,naturallight,maverick
cret03,1.0,195.0,0.201446280992,0.0,0.0,0.0,0.0,195.0,0.201446280992,968.144572913,waterbottle,neutral,967.0,waterbottle,naturallight,maverick
cret03,1.0,333.0,0.406097560976,333.0,0.406097560976,0.0,0.0,124.0,0.151219512195,819.561319343,selzter,neutral,819.0,naturallight,naturallight,maverick
cret03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.791310072416,1518.40084104,waterbottle,neutral,1518.0,naturallight,naturallight,maverick
