sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
25.0,3.0,neutral,cigarette,794.0,0.0,1.0
25.0,3.0,neutral,neutral,794.0,0.0,0.0
26.0,3.0,neutral,alcohol,794.0,0.0,0.125
26.0,3.0,neutral,cigarette,794.0,0.0,0.0
26.0,3.0,neutral,neutral,794.0,0.0,0.875
27.0,3.0,neutral,alcohol,794.0,0.0,0.5
27.0,3.0,neutral,cigarette,794.0,0.0,0.25
27.0,3.0,neutral,neutral,794.0,0.0,0.25
28.0,3.0,neutral,alcohol,794.0,0.0,1.0
28.0,3.0,neutral,cigarette,794.0,0.0,0.0
28.0,3.0,neutral,neutral,794.0,0.0,0.0
29.0,3.0,neutral,alcohol,794.0,0.0,
29.0,3.0,neutral,cigarette,794.0,0.0,
29.0,3.0,neutral,neutral,794.0,0.0,
